Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2019-02-19 22:46:15,2019-02-19 22:46:18,3.804s,PASSED
,,,,,,
Test Cases/Day1/Test1,,,2019-02-19 22:46:15,2019-02-19 22:46:18,3.410s,PASSED
"sendRequest(findTestObject(""SOAP/GetBankDetails""))",,,2019-02-19 22:46:15,2019-02-19 22:46:18,2.663s,PASSED
"sendRequest(findTestObject(""REST/GetCustomerDetails""))",,,2019-02-19 22:46:18,2019-02-19 22:46:18,0.375s,PASSED
