Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2019-02-22 14:48:39,2019-02-22 14:48:44,4.572s,PASSED
,,,,,,
Test Cases/Day1/Test1,,,2019-02-22 14:48:39,2019-02-22 14:48:43,3.784s,PASSED
"sendRequest(findTestObject(""SOAP/GetBankDetails""))",,,2019-02-22 14:48:40,2019-02-22 14:48:43,2.850s,PASSED
"sendRequest(findTestObject(""REST/GetCustomerDetails""))",,,2019-02-22 14:48:43,2019-02-22 14:48:43,0.519s,PASSED
