Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2019-02-22 14:57:26,2019-02-22 14:57:31,4.610s,PASSED
,,,,,,
Test Cases/Day1/Test1,,,2019-02-22 14:57:26,2019-02-22 14:57:31,4.326s,PASSED
"sendRequest(findTestObject(""SOAP/GetBankDetails""))",,,2019-02-22 14:57:27,2019-02-22 14:57:30,3.365s,PASSED
"sendRequest(findTestObject(""REST/GetCustomerDetails""))",,,2019-02-22 14:57:30,2019-02-22 14:57:31,0.314s,PASSED
