Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2019-02-19 21:58:14,2019-02-19 21:58:22,8.330s,PASSED
,,,,,,
Test Cases/Day1/Test1,,,2019-02-19 21:58:14,2019-02-19 21:58:22,8.039s,PASSED
"sendRequest(findTestObject(""SOAP/GetBankDetails""))",,,2019-02-19 21:58:14,2019-02-19 21:58:21,7.185s,PASSED
"sendRequest(findTestObject(""REST/GetCustomerDetails""))",,,2019-02-19 21:58:21,2019-02-19 21:58:22,0.401s,PASSED
